ID,Mechanics,Domains
174430.0,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Deck Bag and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers']","['Strategy Games', 'Thematic Games']"
161936.0,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Set Collection', 'Trading', 'Variable Player Powers']","['Strategy Games', 'Thematic Games']"
224517.0,"['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Score-and-Reset Game', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",['Strategy Games']
167791.0,"['Card Drafting', 'Drafting', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Take That', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",['Strategy Games']
233078.0,"['Action Drafting', 'Area Majority / Influence', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Modular Board', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Voting']","['Strategy Games', 'Thematic Games']"
291457.0,"['Action Queue', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']","['Strategy Games', 'Thematic Games']"
182028.0,"['Action Points', 'Auction/Bidding', 'Auction: Dutch', 'Card Drafting', 'Events', 'Income', 'Take That']",['Strategy Games']
220308.0,"['End Game Bonuses', 'Hexagon Grid', 'Income', 'Modular Board', 'Network and Route Building', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",['Strategy Games']
187645.0,"['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Delayed Purchase', 'Dice Rolling', 'Hand Management', 'Team-Based Game', 'Variable Player Powers']",['Thematic Games']
12333.0,"['Action/Event', 'Advantage Token', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Dice Rolling', 'Hand Management', 'Simulation', 'Simultaneous Action Selection', 'Sudden Death Ending', 'Tug of War']","['Strategy Games', 'Wargames']"
193738.0,"['Deck Bag and Pool Building', 'Hand Management', 'Ownership', 'Point to Point Movement', 'Rondel', 'Set Collection', 'Track Movement', 'Variable Set-up']",['Strategy Games']
115746.0,"['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Deck Bag and Pool Building', 'Dice Rolling', 'Hand Management', 'Hidden Movement', 'Movement Points', 'Simulation', 'Team-Based Game']","['Thematic Games', 'Wargames']"
162886.0,"['Action Retrieval', 'Area Majority / Influence', 'Campaign / Battle Card Driven', 'Cooperative Game', 'Events', 'Hand Management', 'Modular Board', 'Set Collection', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",['Strategy Games']
169786.0,"['Area Majority / Influence', 'Card Play Conflict Resolution', 'Force Commitment', 'Grid Movement', 'Hexagon Grid', 'King of the Hill', 'Movement Points', 'Moving Multiple Units', 'Narrative Choice / Paragraph', 'Solo / Solitaire Game', 'Tech Trees / Tech Tracks', 'Variable Player Powers']",['Strategy Games']
84876.0,"['Dice Rolling', 'Grid Coverage', 'Hexagon Grid', 'Set Collection', 'Tile Placement', 'Turn Order: Stat-Based', 'Worker Placement with Dice Workers']",['Strategy Games']
120677.0,"['End Game Bonuses', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Network and Route Building', 'Tech Trees / Tech Tracks', 'Turn Order: Pass Order', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",['Strategy Games']
173346.0,"['Card Drafting', 'Drafting', 'Set Collection', 'Sudden Death Ending', 'Tug of War']",['Strategy Games']
124361.0,"['Action Retrieval', 'Advantage Token', 'Auction: Dutch', 'Card Drafting', 'Deck Bag and Pool Building', 'Hand Management', 'Movement Points', 'Point to Point Movement', 'Set Collection', 'Variable Set-up']",['Strategy Games']
28720.0,"['Hand Management', 'Income', 'Loans', 'Network and Route Building']",['Strategy Games']
266192.0,"['Card Drafting', 'Dice Rolling', 'Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Solo / Solitaire Game']","['Family Games', 'Strategy Games']"
177736.0,"['Automatic Resource Growth', 'Dice Rolling', 'Grid Coverage', 'Income', 'Pattern Building', 'Push Your Luck', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Pass Order', 'Worker Placement']",['Strategy Games']
205637.0,"['Action Points', 'Cooperative Game', 'Deck Construction', 'Hand Management', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Variable Player Powers']","['Customizable Games', 'Thematic Games']"
183394.0,"['Contracts', 'Hand Management', 'Solo / Solitaire Game', 'Turn Order: Auction', 'Victory Points as a Resource', 'Worker Placement', 'Worker Placement', 'Different Worker Types']",['Strategy Games']
167355.0,"['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hidden Roles', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']",['Thematic Games']
164928.0,"['Deck Bag and Pool Building', 'Point to Point Movement', 'Turn Order: Progressive']",['Strategy Games']
96848.0,"['Card Drafting', 'Cooperative Game', 'Deck Bag and Pool Building', 'Dice Rolling', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Modular Board', 'Role Playing', 'Solo / Solitaire Game', 'Variable Player Powers']","['Strategy Games', 'Thematic Games']"
